Slang
W
L
Dank
Cheugy
TFW
Woke
Bop
Smol
Fam
Stan
Ghosting
Salty
Drip
Iykyk
Drag
Snatched
Ffs
Finna
cap
Simp
Camp
Snack
Sheesh
Bet
Periodt
Finesse
Sis
Gaup
Extra
Clapback
Asl
Based
Boujee
Bussy
Cringe
Ded
Facts
Lit
Mid
NPC
Ratio
Rizz
Sksksk
Slaps
Sus
Slay
Tea
Valid
Vibing
Wig
Word
Af
Chad
Clapped
Clown
Cringy
fomo
Fr
Ion
IRL
Karen
Mom
Dad
NGL
Boomer
Shade
Shook
Smh
TBH
Thirsty
Yas
Yeet
ick
naur
Unserious
Gagged
Ate
Poggers
Heather
Wth
Flex
Gucci
Sturdy
TNTL
YNK
CSL
GMTA
IMO
IMOH
JK
Bae
SSDD
WYWH
Benching
Breadcumbing
Cuffing
DTR
Gaslighting
ILY
Smash
Situationship
Zaddy
AFK
ASAP
ATK
ATM
BAK
BBL
BBS
BFN
BRB
BRT
BTW
CU
CYA
FAQ
FC
FWIW
FYI
GAL
GG
GN
GMTA
IC
ICQ
ILU
IMHO
IMO
IOW
IRL
KISS
LDR
LMAO
LOL
LTNS
MTE
NRN
OIC
PITA
PRT
PRW
ROFL
ROFLOL
ROTFLMAO
STATS
ASL
THX
TTFN
TTYL
U
WB
WTF
WTG
WUF
BFF
AA
AA
AA
AAF
AAF
AAK
AAK
AAMOF
AAMOI
AAP
AAR
AAS
AASHTA
AATK
AAYF
ABBR
ABC
ABD
ABT
ABTA
ABU
AC
ACC
ACD
ACDNT
ACE
ACK
ACPT
ACQSTN
ADAD
ADBB
ADD
ADDY
ADIH
ADIP
ADMIN
ADMINR
ADN
ADR
AE
AEAP
AF
AF
AF
AFC
AFAIAA
AFAIC
AFAIK
AFAIUI
AFAP
AFFA
AFJ
AFK
AFZ
AFPOE
AGI
AH
AIAMU
AIGHT
AIR
AISB
AISB
AISI
AITR
AKA
ALCON
ALOL
AMA
AMAP
AMBW
AML
AMOF
AO
AOC
AOE
AOM
AOM
AOTA
AOYP
APAC
APP
APP
AQAP
ARC
ARE
ARG
ASIG
ASAP
ASL
ASLA
AT
ATB
ATEOTD
ATM
ATSITS
ATSL
AWC
AWESO
AWOL
AWOL
AYDY
AYBABTU
AYEC
AYOR
AYSOS
AYS
AYT
AYTMTB
AYV
AYW
AYW
AZN
B
B
BAG
BA
BAE
BAE
BAFO
BAK
BAM
BAMF
BAO
BAS
BASIC
BASOR
BAU
BAY
BB
BB
BB
BBC
BBIAB
BBIAF
BBIAM
BBIAS
BBL
BBN
BBQ
BBS
BBT
BC
BC
BCNU
BCOS
BCO
BCOY
BD
BDAY
BDN
BEG
BELF
BF
BF
BFAW
BF
BFF
BFFL
BFFLNMW
BFD
BFG
BFFN
BFN
BG
BGWM
BIB
BIBO
BIC
BIF
BIH
BIL
BIO
BION
BIOYA
BIOYN
BIS
BISFLATM
BITMT
BL
BLNT
Bloke
BM
BME
BOB
BN
BOE
BOHICA
BOL
BOM
BOLO
BOOMS
BOP
BOSMKL
BOT
BOT
BMS
BOYF
BPLM
BRB
BR
BRBB
BRNC
BRD
BRH
BRT
BSF
BSOD
BSTS
BT
BT
BTA
BTDT
BTW
BTYCL
BUBU
BURN
Buff
BWL
BYOB
BYOC
BYOD
BYOH
BYOP
BYTM
CAD
CAD
Cakeday
CAM
CB
CB
CB
CFS
CFY
CHK
CIAO
CICO
CID
CID
CLAB
CLD
CLK
CM
CMAP
CMB
CMGR
CMIIW
CMON
CNP
COB
COH
COS
CP
Cray
CRAFT
CRB
CRBT
CRIT
CRZ
CRS
CSG
CSL
CSS
CT
CTC
CTHU
CTN
CTO
CU
CU
CUA
CUL
CULA
CUMID
CURLO
CWD
CWOT
CWYL
CX
CYA
CYE
CYEP
CYO
DA
DAE
DAFUQ
DAM
DAoC
DBAU
DBEYR
DC
DD
DD
DDG
DEGT
DERP
DF
DFL
DGA
DGAF
DGT
DGTG
DGYF
DH
DHU
DIIK
DIKU
DILLIGAF
DILLIGAS
DIS
DITYID
DIY
DKDC
DKP
DL
DL
DL
DLBBB
DLTBBB
DM
DM
DM
DM
DMNO
DMY
DN
DNC
DNR
DNT
DOE
DORBS
DOT
Downvote
DPS
DQMOT
DR
DS
DTR
DTRT
DTS
DTTD
DUPE
DUR
DW
DWF
DWM
DXNRY
DYNWUTB
DYFI
DYFM
DYJHIW
DYOR
E
E
EAK
EBKAC
ED
EG
EI
EIP
EM
EMA
EMBAR
EMFBI
EMFBI
EMSG
ENUF
EOD
EOD
EOL
EOL
EOM
EOS
EOT
EQ
ERP
ES
ESAD
ETA
ETA
EVA
EVO
EWG
EWI
EXTRA
EYC
EZ
EZY
F
FAAK
FAB
Facepalm
FAF
FAM
FAQ
FAY
FB
FBB
FBC
FBF
FBF
FBF
FBFR
FBM
FBO
FBOW
FC
FC
FCOL
Feelsbadman
Feelsbatman
Feelsgoodman
FEITCTAJ
FF
FFA
FFS
FICCL
FIF
FIIK
FIIOOH
FIL
FIMH
Finna
Finsta
FISH
FITB
FML
FOMC
FOMO
FOAD
FOAF
FOMCL
FRT
FTBOMH
FTFY
FTL
FTW
FU
FUBAR
FUBB
FUD
FUTAB
FW
FWB
FWIW
FWM
FWP
FYE
FYEO
FYA
FYI
G
G
GA
GAC
GAFC
GAL
GANK
GAS
GAS
GB
GBTW
GBU
GD
GDR
GFI
GF
GFN
GG
GG
GG
GGA
GGMSOT
GGOH
GGP
GH
GIAR
GIC
GIGO
GIRL
GJ
GL
GLA
GLE
GLNG
GMBA
GMTA
GMV
GN
GNA
GNIGHT
GNITE
GNSD
GOAT
GOI
GOL
GOMB
GPOY
GRATZ
GRL
GRWG
GS
GS
GT
GTFO
GTFOH
GTG
GTM
GTRM
GTSY
GUCCI
GUD
GWHTLC
H
HAK
HALP
HAU
HAGN
HAGO
HAND
HAWT
HAWT
HB
HB
HBD
HBU
HF
HFAC
HHIS
HIFW
HL
HLA
HMU
HNL
HOAS
HP
HRU
HTH
HUB
HUYA
HV
HVH
HW
HYFR
IAAA
IAAD
IAAL
IAC
IAE
IANAC
IANAL
IAO
IB
IB
IC
ICAM
ICBW
ICEDI
ICFILWU
ICYMI
IDBI
IDC
IDGAF
IDK
IDTS
IDUNNO
IFYP
IG
IGHT
IGN
IGP
IHNI
IIRC
IIIO
IK
IKR
ILU
ILUM
ILYSM
ILY
IM
IMAO
IMHO
ImL
IMNSHO
IMO
IMS
IMSB
IMTM
IMU
INAL
INC
Inspoo
INV
IOMH
IOW
IRL
IRMC
ISLY
ISO
ITAM
ITT
ITYK
IUSS
IWALU
IWAWO
IWIAM
IWSN
IYKWIM
IYO
IYQ
IYSS
JAC
JAM
JAS
JDI
JELLY
JFF
JFGI
JIC
JJA
JLMK
JMO
JP
JP
JTLYK
JV
JW
