,0
abu,135.13589997061715
kewl,134.50263750867077
bbl,134.25538049369965
bd,132.87223944115172
paw,130.93725961193795
fc,128.68179207001984
stan,128.4978490415167
ld,126.72462025827285
bn,125.68165780442159
cp,125.6083856929573
ama,125.4529342038961
psa,124.84470422199801
sol,124.83164646749593
aight,124.82568489825607
ftl,124.74363030438897
bloke,124.58273695421676
mu,124.29070317887403
br,124.139119321805
eta,122.96217452101682
ae,122.69361759475916
una,122.24595355216566
wc,121.69146888550888
ikr,117.54334905624123
gh,117.42287992211153
nvr,116.89418118497932
pug,116.58048242767438
tm,116.1898824167301
yg,115.77223801963943
wuz,114.76979348818146
bao,114.00741076625732
mgmt,113.68388248926875
doe,113.01267358986121
ik,112.71727784085557
arc,111.64652384410776
finna,111.41856718319643
moss,110.82315682700111
sos,110.37747807973197
wu,109.31586871226396
vbs,108.59052665583252
wb,107.12088873029836
gucci,106.4790046934626
tia,104.77021391735877
tam,104.26745984763336
qt,103.2767928369647
faq,103.20920111434273
lik,101.75196409192291
og,101.52411384356286
hawt,100.82521788774923
vm,100.72806892662285
sal,100.44959235248906
sq,100.11298278124673
tnt,98.76219442767868
enuf,97.52880459317508
gl,97.51346842264729
ks,96.8700383181925
cob,96.08541540246658
cb,95.67281419485144
gtg,95.45767882927903
selfie,94.64576474791045
zzzz,93.48302517249182
totes,93.14724992281643
acc,93.04531530277524
ru,91.99555175156826
dank,89.55636710339991
eg,86.04411342229837
noob,84.97789564947814
addy,82.88253698207953
rl,81.53666621516778
snatched,81.37170200412467
vat,81.06806006143977
idc,80.04566134439769
thot,79.98557602402225
pu,78.8862323983741
wbu,77.52607590779178
otw,76.22800651469807
yw,75.66454894314496
hb,75.12094045711352
qc,74.03019631967237
ez,73.71257999885974
cld,73.47024992811475
kb,72.52497693829301
stfu,72.36111433249482
obv,72.1051461124425
omw,71.81690078978279
gn,70.61983842344692
ob,69.81412353328021
lls,69.55178628100656
jw,69.28927559787095
vc,69.26230714093948
bol,69.00204387495971
tmi,68.76465786024227
pmsl,68.17726613979661
tl,67.41231625821733
kms,67.23149197257467
yas,67.22952491653669
tg,67.1842428802672
ofc,66.70338145939982
chk,66.54304654423224
ilu,65.53825972982285
kt,65.40744008009135
kol,65.38338189023088
bbs,65.30013979258652
lotr,65.23143756998995
bae,63.49391070825657
tau,62.05179666124544
cad,61.80403680681196
downvote,61.315809022798014
lulz,61.20063142161539
boyf,60.77084888801209
pap,60.32436053728775
tic,58.37715338028487
ns,57.73173860902242
lgh,57.58892366224196
ic,57.382369739603305
sturdy,56.97407546284684
tos,56.13319089017654
ao,55.17123007075158
ion,54.80358013861607
slaps,54.634663059955884
mehh,54.31129426043103
fw,53.42718121742742
ib,52.20762107142334
ema,52.13599494995526
hbu,51.58380379416718
bas,50.873179043897125
bop,50.817665221007346
nsfw,48.54741615155899
ul,48.223035513250146
dn,47.967830010664095
roflmao,47.824566386080626
oyo,47.600443135145056
jas,47.388938067537296
abd,47.260972835450865
fay,46.77411140093951
yaba,46.35371801541179
pov,46.2239000610852
halp,45.33652443473194
bm,45.1370245375287
rut,44.40780213501146
pip,44.119322166701544
pwn,43.52522482618422
bcos,42.637455829010776
csl,42.411941391209695
eos,41.77846748053173
gtfo,41.713035062623675
goi,41.57599070201466
bffl,40.67996009832035
ott,39.944657964016535
slay,39.567984633619986
evo,37.76715529671472
afaik,37.75270930808767
lmbo,37.333220519963334
swat,37.32184150152189
nr,37.13950710427248
jac,37.059841954381014
lmk,37.05805753118932
bib,36.83441301621139
adn,36.739687438817235
awol,35.7974468432993
bl,35.54947681534978
ei,35.36160229144137
gratz,34.687383377853635
vn,34.561053972712116
tanked,34.20333942358376
aar,33.8308726663435
qq,33.793252236263456
iirc,33.76353946310911
rotfl,33.691888359460236
bfd,33.57816715270582
icymi,33.54777417004466
jv,33.321505680282016
lolo,32.61179589079888
ttys,32.320851500555875
grl,32.16510022439363
asl,32.03406077449734
mkay,31.848470181976403
finesse,31.47699742942416
fwiw,31.3293546707649
oic,31.311382951101724
bis,31.26561606277058
ight,31.251633861212913
ign,31.120453524531577
crs,30.44285225795798
vry,30.319039959589063
uw,30.244066393744788
wkd,30.23908189324291
tyvm,29.872552158467826
ttfn,29.740087721458313
pto,29.577724658316264
facepalm,29.4558261832017
boomer,29.453808969220237
ux,28.09895547971377
mbs,27.948521580631166
icq,27.946485017603834
iow,27.848179895754114
pda,27.566988405782517
df,27.32752318080963
pdq,27.2994331793603
sus,27.253050798543164
pft,27.246703279688955
wtg,27.03044234769498
nerf,26.723281411018217
dae,26.62478609392298
bsod,26.457702806610644
qik,26.242258474349956
wl,25.744571233790175
ims,25.65070275988641
afk,25.40652833645092
bolo,25.1971779284687
loa,25.14504902047336
gagged,24.99886061294374
sys,24.719385868396945
tbc,24.69406451492265
dps,24.558208701337
tou,24.385477284831747
clapped,23.628358326555922
hl,23.613758159603698
snafu,23.155232928700908
bil,22.800904126758482
xyz,22.484599244697545
dnc,22.3979019444093
hbd,22.18264106909256
ngl,21.569422532385044
azn,21.47150708828963
gaslighting,21.27633545180685
cx,20.750025883455663
gj,20.61440334445547
woa,20.422525671916343
nlt,20.272494928299896
idgaf,19.8925579423528
cray,19.87788402924564
mlm,19.721438749629407
pvp,19.58128627431951
pyt,19.52949507614611
dupe,19.40996895093038
nfs,19.292875239203948
tbt,19.227098594731256
crit,19.019849964687502
ptl,19.01577105540624
eq,18.95877691592057
otp,18.596399928640793
kow,18.567947006179814
voip,18.463861599194352
wrt,18.21259284909425
oa,18.046891411083887
wtb,18.02158577902278
gol,18.006660609189787
kos,17.883064179996897
cid,17.780229613850782
nsa,17.625169425661507
qotd,17.233963220753488
ayt,17.20205524546922
mmk,17.075158654796525
tui,16.987747308943415
lfd,16.917992861469063
tbd,16.75217459044007
gbu,16.62658904087983
cringy,16.607381030198358
ded,16.552503080761205
rw,16.54656728050226
fubar,16.521439750722468
ttly,16.256192723345972
bubu,16.14636231564266
yolo,15.668245060676167
bbt,15.616069498394003
otoh,15.493996159470603
aoc,15.28082565465986
atb,15.127734653822571
mrt,15.105235268857196
cakeday,14.97279974173242
orly,14.687162786243238
utm,14.478551534997749
tfw,14.440741887495253
rotflmao,14.182350435041315
lic,13.930438981045118
tsh,13.709830922472886
onl,13.680749126993778
sot,13.66318607639994
fye,13.515304768620995
imu,13.497536573050178
wts,13.459703242497438
wombat,13.022268383049578
yd,12.879378350357594
sul,12.861605072549304
dur,12.736172037400316
lts,12.722927172442589
cfs,12.665852133322664
bsf,12.609051379748955
mnc,12.48865991461664
bussy,12.458756638877745
kmt,12.45483373296521
atk,12.406285374224305
fomo,12.085498853354459
ilysm,12.084911271541417
ffa,12.017928466448653
gac,11.933164725832517
vibing,11.859457087512311
yiu,11.838935570793355
hf,11.764792763162301
bif,11.718936877580717
ftfy,11.671446140896755
cto,11.668083603779964
bic,11.66486747619356
fud,11.653027984433354
bamf,11.557898027171804
tanking,11.42138692108993
kmk,11.326985175484756
tfs,11.200201956246667
nbd,11.068292411964094
wisp,10.98044800784235
spk,10.927822685038697
pcm,10.741804999325984
turnt,10.635967564407583
nwo,10.501312981534541
npc,10.471727400486786
cul,10.40368443836523
ctc,10.208511875248902
pron,10.180909071726525
ryo,9.740300343531182
lms,9.703175890064085
jic,9.597052505893853
idunno,9.591661981720383
bih,9.550083025218719
pds,9.517999846151929
presh,9.222187071481754
tq,9.103746767846246
mgb,9.068998657092735
tpm,8.99196100166742
oms,8.953448050910623
aaf,8.803684880612396
ymmv,8.768087513329517
hru,8.761533506250089
erp,8.735775952206701
wam,8.72737007909684
dts,8.44379626307939
wep,8.426302823045614
brd,8.412787921556566
apac,8.382990618617583
bfn,8.264740643883696
lmmfao,8.23247026241212
agi,8.223569180362324
gic,8.191349243070123
fomc,8.184733277538832
bms,8.031331779120189
wyd,7.989100235409691
cua,7.961724873894042
ddg,7.9598187574872465
tir,7.910359257413709
tyt,7.854175875609749
coh,7.661578975762497
rme,7.5925792228999995
adr,7.461155956421566
iykyk,7.421586528973142
tttt,7.4084356209616065
pz,7.352288094284167
moos,7.328460737806271
bau,7.271699502653683
tmb,7.25748173638249
yl,7.215656304805
bfg,7.180008220405408
nts,7.153667413685193
ootd,7.104084936207994
eod,7.026731387837328
snr,6.97473566873853
hmu,6.9462736100524705
booms,6.913491346303659
tff,6.634954102526416
ql,6.620309540721479
tys,6.603022674374433
crb,6.573135217456531
mez,6.57159448048221
boe,6.564831519333993
aml,6.496439026033809
sjw,6.373686333085296
roflcopter,6.355745495202494
tcb,6.294831773146912
usu,6.26107905221452
lho,6.195556061712644
shid,6.143060429194744
dtr,6.115030735976199
aisi,6.08156722225531
bibo,6.0451604693006376
simp,5.962645494531575
hla,5.937536454823761
bbiab,5.911173375269873
boujee,5.90722515891499
benching,5.863082528020655
roflol,5.766941894327085
igp,5.761137651414471
iac,5.7358049659203925
aoe,5.717103075693897
aas,5.6956516780836
tbl,5.62783550565959
dafuq,5.623621240141789
otl,5.475217877565843
ezy,5.468482442549682
bme,5.37488343369711
oll,5.1854039106061265
ghosting,5.1338098621169586
nthing,5.086925655876681
keya,5.053623569064064
kir,4.989910906613758
hau,4.980586456882783
eom,4.976395211835573
uds,4.891003694970809
hth,4.870955523519686
jmo,4.847812969705038
plu,4.783481773369138
acd,4.707775445511597
xlnt,4.657969721702091
ldr,4.63360284207569
warez,4.613598578329726
dnr,4.59414378858418
lysm,4.578362011245894
alcon,4.545952349687301
hak,4.5410394740020745
dgaf,4.533971273826732
brt,4.516346121166885
ttg,4.441123318300527
hago,4.3977175267941835
fbc,4.280572757621064
aak,4.235325087218685
wca,4.209159564597252
bbn,4.159127060125004
prt,4.126169563831136
tma,4.068242702764305
kma,4.038441625757381
fwb,4.0
zup,3.9478594265026987
gfi,3.9061613506299544
lylas,3.824383856441012
wbs,3.8069771239757437
dgt,3.7297041247825966
dwf,3.7287407233631313
urh,3.7145191801390434
syl,3.7076236567542242
hagn,3.686722713344231
pdh,3.67332663729485
kys,3.653065099113329
myo,3.638927258438983
lfg,3.6300322873775537
cuffing,3.479837201638335
cnp,3.4295877727524915
mte,3.417968288701498
lhm,3.4178349473801983
icam,3.4070100691111853
faf,3.406043132888267
yeet,3.3865921436689725
mtf,3.3208120542584982
iyo,3.0
otb,2.9938747753561477
ltns,2.955528993960046
lnt,2.949362178409958
udi,2.9050318078909774
zot,2.876038381830406
gga,2.8727908727484204
myob,2.871431511199308
tptb,2.869776159570598
gla,2.866492831601324
swak,2.8111014684994586
foad,2.7695352449998674
hnl,2.7546098503441705
ttul,2.7049982564217565
aom,2.6808064786123436
bta,2.644282141407432
wup,2.6193629852732974
mfi,2.61645547530769
gmta,2.5657662796496874
kpc,2.519876455961352
whateves,2.5182949031048216
gle,2.497715125381485
jdi,2.4847616885240607
gtfoh,2.473411529846781
cmb,2.438728845805249
pir,2.3996516990479346
wysiwyg,2.3520127131610455
vsc,2.2218173812181394
belf,2.0
stw,2.0
eip,2.0
webo,2.0
senpai,2.0
pkmn,2.0
btdt,2.0
mfw,2.0
lsv,2.0
nmh,2.0
rthx,2.0
pbook,2.0
thnq,2.0
fif,1.98329936977663
rsn,1.9801619836651554
derp,1.9801619836651554
vgh,1.9785270631089489
gtm,1.9785270631089489
inv,1.9785270631089489
rizz,1.9783085487966736
clk,1.9604161179022124
hvh,1.9572197222892354
dwm,1.9551401621763378
tmth,1.951207889315962
ksc,1.9400642331008138
wywh,1.9313698729811173
wwjd,1.9295164381126355
ewi,1.9120607102629967
idts,1.908229515426049
abta,1.905475601775982
gank,1.8822345481925273
wayf,1.8708274236514522
twss,1.8630431596397328
frt,1.8599403632539993
bwl,1.8594602245875302
nsfl,1.8565985596606258
potd,1.8550274444648287
faak,1.8540992390798536
unserious,1.8524748436875575
xpost,1.8303566075750257
nmu,1.814230907791842
oomf,1.7779974829097096
byod,1.7717256849466636
wuw,1.768492995822755
rgr,1.764400899786479
lvm,1.7594647356241104
cwd,1.7567721903949256
ayw,1.7468777676244898
pve,1.715505588670538
gdr,1.689318774088456
brh,1.6804456329232873
tbag,1.6611430400696792
bco,1.6585120294228448
idbi,1.579414109391376
periodt,1.577380290586515
dmy,1.5697211996258806
crz,1.5453839827858757
sbt,1.5366258628454659
ggp,1.5267637405284769
limt,1.5228095977861629
hoas,1.501190348563334
ays,1.4988816111439072
dilligaf,1.4730418791405198
smol,1.4097438125927528
aweso,1.3968941037440747
nowl,1.3886447334972851
snert,1.3290006013999183
fwp,1.1520453470520646
ewg,1.120506356264433
adip,1.0
dyfi,1.0
vsf,1.0
dfl,1.0
yf,1.0
weebo,1.0
wdyt,1.0
dkp,1.0
cthu,1.0
unpc,1.0
bdn,1.0
tftf,1.0
fwm,1.0
rys,1.0
fbb,1.0
swmbo,1.0
swl,1.0
iao,1.0
foaf,1.0
ianal,1.0
rtfm,1.0
fitb,1.0
koc,1.0
proggy,1.0
feelsbadman,1.0
gmv,1.0
huya,1.0
affa,1.0
morf,1.0
nimby,1.0
itam,1.0
wuf,0.9951979406684007
eot,0.981196487469722
alol,0.9796441774683043
ptfo,0.9796441774683043
toj,0.9794366740537297
ldo,0.9782487542978093
amap,0.9765743673047798
suth,0.9765743673047798
blnt,0.9765743673047798
ufb,0.9617492786141647
vwp,0.9617492786141647
nfm,0.9597435144455645
aashta,0.9562857697772362
cmiiw,0.9536465105303333
somy,0.9536465105303333
mego,0.9511254840265104
eol,0.9502105817453441
ilum,0.928568133858441
cmap,0.9275462416621336
fbo,0.9210476839504759
asla,0.9206305531270024
cico,0.9150997237949835
eak,0.9100915676101351
ctn,0.8992791605173115
awc,0.8904818006431062
syy,0.882603556053631
sete,0.8811256851621163
bohica,0.8776567718722015
finsta,0.8767824360680457
vgc,0.8619118118058356
lerk,0.8568129645479878
wtt,0.8549605165996701
glng,0.8428863002117244
vfm,0.829852657055736
irmc,0.8294012761564626
poggers,0.8221656255341723
kotc,0.81826647543996
smexi,0.7804245050456617
adad,0.7781534053785709
fiik,0.771056162405656
zh,0.7680779148739256
otfl,0.7496367291864645
ruok,0.7485297029464436
jja,0.7484372878072229
bion,0.7320493727733575
pza,0.7117700694132418
grwg,0.7035311066733385
imnsho,0.6826446638844132
nrn,0.6420391940184457
iaaa,0.6326674336227399
mirl,0.6000035725760575
fbm,0.5728905163017943
nfw,0.4573216809390345
